央视频道,#genre#
湖北卫视,http://61.55.13.136:4000/rtp/239.253.92.210:6567$1920x1080
湖北卫视,http://60.7.56.33:4000/rtp/239.253.92.210:6567$1920x1080
湖北卫视,http://61.55.46.35:4022/rtp/239.253.92.210:6567$1920x1080
湖北卫视,http://121.21.84.3:8888/rtp/239.253.92.210:6567$1920x1080
湖北卫视,http://120.6.7.108:4022/rtp/239.253.92.210:6567$1920x1080
黑龙江卫视,http://61.55.13.136:4000/rtp/239.253.92.85:8016$1920x1080
黑龙江卫视,http://61.55.46.35:4022/rtp/239.253.92.85:8016$1920x1080
黑龙江卫视,http://120.6.7.108:4022/rtp/239.253.92.85:8016$1920x1080
安徽卫视,http://61.55.13.136:4000/rtp/239.253.92.209:6566$1920x1080
安徽卫视,http://61.55.46.35:4022/rtp/239.253.92.209:6566$1920x1080
安徽卫视,http://120.6.7.108:4022/rtp/239.253.92.209:6566$1920x1080
重庆卫视,http://61.55.13.136:4000/rtp/239.253.92.10:6053$1920x1080
重庆卫视,http://60.7.56.33:4000/rtp/239.253.92.10:6053$1920x1080
重庆卫视,http://61.55.46.35:4022/rtp/239.253.92.10:6053$1920x1080
重庆卫视,http://121.21.84.3:8888/rtp/239.253.92.10:6053$1920x1080
重庆卫视,http://120.6.7.108:4022/rtp/239.253.92.10:6053$1920x1080
东方卫视,http://61.55.13.136:4000/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://121.29.91.169:7077/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://61.55.46.35:4022/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://121.21.84.3:8888/rtp/239.253.92.89:8019$1920x1080
东方卫视,http://120.6.7.108:4022/rtp/239.253.92.89:8019$1920x1080
东南卫视,http://61.55.46.35:4022/rtp/239.253.92.201:6146$1920x1080
东南卫视,http://121.21.84.3:8888/rtp/239.253.92.201:6146$1920x1080
东南卫视,http://120.6.7.108:4022/rtp/239.253.92.201:6146$1920x1080
广西卫视,http://61.55.13.136:4000/rtp/239.253.92.76:8043$1920x1080
广西卫视,http://61.55.46.35:4022/rtp/239.253.92.76:8043$1920x1080
广西卫视,http://120.6.7.108:4022/rtp/239.253.92.76:8043$1920x1080
贵州卫视,http://61.55.13.136:4000/rtp/239.253.92.105:6055$1920x1080
贵州卫视,http://60.7.56.33:4000/rtp/239.253.92.105:6055$1920x1080
贵州卫视,http://61.55.46.35:4022/rtp/239.253.92.105:6055$1920x1080
贵州卫视,http://121.21.84.3:8888/rtp/239.253.92.105:6055$1920x1080
贵州卫视,http://120.6.7.108:4022/rtp/239.253.92.105:6055$1920x1080
海南卫视,http://61.55.13.136:4000/rtp/239.253.93.155:6323$1920x1080
海南卫视,http://121.29.91.169:7077/rtp/239.253.93.155:6323$1920x1080
海南卫视,http://61.55.46.35:4022/rtp/239.253.93.155:6323$1920x1080
海南卫视,http://121.21.84.3:8888/rtp/239.253.93.155:6323$1920x1080
海南卫视,http://120.6.7.108:4022/rtp/239.253.93.155:6323$1920x1080
河北卫视,http://61.55.13.136:4000/rtp/239.253.92.154:6011$1920x1080
河北卫视,http://121.29.91.169:7077/rtp/239.253.92.154:6011$1920x1080
河北卫视,http://61.55.46.35:4022/rtp/239.253.92.154:6011$1920x1080
河北卫视,http://121.21.84.3:8888/rtp/239.253.92.154:6011$1920x1080
河北卫视,http://120.6.7.108:4022/rtp/239.253.92.154:6011$1920x1080
河南卫视,http://121.29.91.169:7077/rtp/239.253.92.137:6144$1920x1080
河南卫视,http://61.55.13.136:4000/rtp/239.253.92.137:6144$1920x1080
河南卫视,http://61.55.46.35:4022/rtp/239.253.92.137:6144$1920x1080
河南卫视,http://121.21.84.3:8888/rtp/239.253.92.137:6144$1920x1080
河南卫视,http://120.6.7.108:4022/rtp/239.253.92.137:6144$1920x1080
吉林卫视,http://61.55.13.136:4000/rtp/239.253.92.202:6147$1920x1080
吉林卫视,http://121.29.91.169:7077/rtp/239.253.92.202:6147$1920x1080
吉林卫视,http://61.55.46.35:4022/rtp/239.253.92.202:6147$1920x1080
吉林卫视,http://121.21.84.3:8888/rtp/239.253.92.202:6147$1920x1080
吉林卫视,http://120.6.7.108:4022/rtp/239.253.92.202:6147$1920x1080
江苏卫视,http://61.55.13.136:4000/rtp/239.253.92.88:8018$1920x1080
江苏卫视,http://60.7.56.33:4000/rtp/239.253.92.88:8018$1920x1080
江苏卫视,http://61.55.46.35:4022/rtp/239.253.92.88:8018$1920x1080
江苏卫视,http://121.21.84.3:8888/rtp/239.253.92.88:8018$1920x1080
江苏卫视,http://120.6.7.108:4022/rtp/239.253.92.88:8018$1920x1080
江西卫视,http://121.29.91.169:7077/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://61.55.13.136:4000/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://60.7.56.33:4000/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://61.55.46.35:4022/rtp/239.253.92.19:6145$1920x1080
